Date,BCOMHG,BCOMNI,BCOMCL
2024-12-04,4.183,16034.0,68.19
2024-12-05,4.1745,15924.0,67.96
2024-12-06,4.1785,15971.0,66.98
2024-12-09,4.258,15970.0,68.09
2024-12-10,4.2535,15750.0,68.27
2024-12-11,4.245,15800.0,69.87
2024-12-12,4.225,16148.0,69.66
2024-12-13,4.177,15833.0,70.82
2024-12-16,4.1705,15643.0,70.29
2024-12-17,4.125,15483.0,69.65
2024-12-18,4.1355,15540.0,70.02
2024-12-19,4.0555,15053.0,69.38
2024-12-20,4.079,15302.0,69.02
2024-12-23,4.0635,15392.0,68.81
2024-12-24,4.089,15455.0,69.64
2024-12-27,4.1005,15297.0,70.18
2024-12-30,4.093,15450.0,70.53
2024-12-31,4.0265,15292.0,71.25
2025-01-02,4.026,15029.0,72.5
2025-01-03,4.0735,15137.0,73.21
2025-01-06,4.1615,15199.0,72.92
2025-01-07,4.1955,15380.0,73.57
2025-01-08,4.2585,15415.0,72.67
2025-01-09,4.3095,15465.0,73.24
2025-01-10,4.304,15618.0,75.75
2025-01-13,4.3255,15855.0,77.3
2025-01-14,4.3425,15910.0,76.37
2025-01-15,4.389,15792.0,78.71
